Passage,DOI,Material,Rc,Unit,log(Rc)
"Achieving superior glass forming ability of Zr–Cu–Al–Ni–Ti/Ag bulk metallic glasses by element substitution. The GFA improves with the increasing of Ag content in Zr57Cu20Al10Ni8Ti5- x Ag x (x =0, 1, 2, 3, 4, 5) BMGs system. The new alloy, Zr57Cu20Al10Ni8Ag5, which has a critical cooling rate of only 2.5K/s can easily be cast into fully glass rod with a diameter of 20mm.",10.1016/j.jnoncrysol.2013.05.014,Ag5Al10Cu20Ni8Zr57,2.5,K/s,0.397940009
"Materials properties measurements and particle beam interactions studies using electrostatic levitation. The measured critical cooling rates leading to glass formation, for the processed LS and Pt-LS glasses, were 14±2°C/min and 130±5°C/min, respectively. The same compositions processed with a crucible yielded to critical cooling rates of 62±3°C/min and 162±5°C/min, respectively.",10.1016/j.mser.2013.12.001,Li2O2Si2O4Pt,2.7,K/s,0.431363764
"Critical cooling rate and thermal stability for a Ti–Zr–Ni–Cu–Be metallic glass. The typical DTA curves exhibiting the exothermic peak upon melting and the exothermic peak upon solidification are shown in Fig. 2 for the Ti40Zr25Ni3Cu12Be20 BMG. The corresponding plot of ln R versus 1/(T l - T xc )^(2), obtained using the data deduced from the DTA measurements, is shown in Fig. 3 and the resulting critical cooling rate of the Ti40Zr25Ni3Cu12Be20 alloy for glass formation is determined to be 3.2K/s.",10.1016/j.jallcom.2008.11.017,Be20Cu12Ni3Ti40Zr25,3.2,K/s,0.505149978
"Microstructure and crystallization mechanism of Ti-based bulk metallic glass by electron beam welding. Combing Eqs. (4) and (5) yields the cooling rate in the weld zone as follows:R is calculated to be 84 K/s, 110 K/s and 124 K/s for the welding speed of 28 mm/s, 32 mm/s and 34 mm/s, respectively. Huang et al. reported that the critical cooling rate (Rc ) of arc-melted Ti40Zr25Ni3Cu12Be20 BMG is ～3.2 K/s [21], which is much smaller than the present values.",10.1016/j.jmapro.2018.01.027,Be20Cu12Ni3Ti40Zr25,3.2,K/s,0.505149978
"Laser welding of Ti40Zr25Ni3Cu12Be20 bulk metallic glass. Thus, to avoid crystallization in the WFZ, the magnitude of R should be larger than 780K/s. For the present work, the cooling rate for retaining the glassy structure during laser welding (780K/s) is much larger than the critical cooling rate of cast sample (3.2K/s) [20].",10.1016/j.msea.2012.01.114,Be20Cu12Ni3Ti40Zr25,3.2,K/s,0.505149978
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. The corresponding plot of ln(R) versus 1/(Txc - TL ) ^(2) is shown in Fig. 3d, the Rc obtained from the intercept of fitted line in Fig. 3d is determined to be 3.5K/s, which agrees well with the Rc obtained by CCT curve (3.75K/s from Fig. 3b). Based on the above experiment, we conclude that the calculated critical cooling rate of Zr55Y0.2 BMG is reliable and can be used to predict critical size of Zr55Y0.2 metallic glass by HPDC.",10.1016/j.jmatprotec.2017.01.015,Al998Cu2994Ni499Y0.2Zr5489,3.5,K/s,0.544068044
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. As seen from the CCT curve in red color in Fig. 3b, the time to a given degree of crystallization is longer and temperature to that is lower for Zr55Y0.2 alloy during continuous cooling compared with that in the TTT curves (black line in Fig. 3b). The recalculated Rc is about 3.75K/s (Fig. 3b), which is close to that of 1.75K/s for Vitreloy 106a and 10K/s for Vitreloy 106 BMG (Evenson et al., 2010).",10.1016/j.jmatprotec.2017.01.015,Al998Cu2994Ni499Y0.2Zr5489,3.75,K/s,0.574031268
"On the high glass-forming ability of Pt-Cu-Ni/Co-P-based liquids. The large exothermic crystallization event upon reheating a sample cooled at 3 K/s (Fig. 2(c)), allows us to conclude that Rc of the Pt42.5Cu27Ni9.5P21 composition is slightly above 3 K/s. However, the continuous measurements performed on Pt60Cu16Co2P22 seem to be less representative in reflecting the GFA of the alloy, since they suggest a much larger Rc than the calculated 3.9 K/s.",10.1016/j.actamat.2017.09.013,Co2Cu16P22Pt60,3.9,K/s,0.591064607
"Synthesis and characterization of Zr-based in situ crystal precipitated and liquid phase separated bulk metallic glass composite. The compressive fracture strength of this bulk metallic glass has varied from 1252MPa to 1865MPa depending on the overheating [32]. Q. Zhang, W. Zhang and co-authors suggest that critical cooling rate of Cu36Zr48Ag8Al8 alloy is 4.4K/s and 6.4K/s or less respectively in two published articles [33,34].",10.1016/j.jnoncrysol.2016.12.017,Ag8Al8Cu36Zr48,4.4,K/s,0.643452676
"Synthesis and characterization of Zr-based in situ crystal precipitated and liquid phase separated bulk metallic glass composite. The compressive fracture strength of this bulk metallic glass has varied from 1252MPa to 1865MPa depending on the overheating [32]. Q. Zhang, W. Zhang and co-authors suggest that critical cooling rate of Cu36Zr48Ag8Al8 alloy is 4.4K/s and 6.4K/s or less respectively in two published articles [33,34].",10.1016/j.jnoncrysol.2016.12.017,Ag8Al8Cu36Zr48,6.4,K/s,0.806179974
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. As shown by the black line in Fig. 3b, the TTT curve of Zr55Y0.2 alloy displays a typical nose shape at temperature near 850K. The critical cooling rate Rc is about 6.5K/s, which is computed using equation Rc ≈(Tm - Tn )/tn , here Tn and tn are the temperature and time at nose point of the curve, respectively.",10.1016/j.jmatprotec.2017.01.015,Al998Cu2994Ni499Y0.2Zr5489,6.5,K/s,0.812913357
"Excellent magnetocaloric effect of a Gd55Al20Co25 bulk metallic glass. Therefore, the super-cooled liquid region ( Δ T x = T x - T g ) and the reduced glass transition temperature ( T r g = T g / T l ) of the BMG are about 66.5 and 0.58, respectively. The parameter γ = ( T x / ( T g + T l ) ) , the critical cooling rate ( R c = C 1 exp [ ( - ln C 1 / γ 0 ) γ ] , where C 1 and γ 0 are constants) and the critical section thickness ( Z c = 2.80 × 10 - 7 exp ( 41.7 γ ) ) of the BMG can be calculated to be 0.41, 6.9K/s and 7.5mm, respectively.",10.1016/j.physb.2011.06.006,Al20Co25Gd55,6.9,K/s,0.838849091
"Synthesis of La-based in-situ bulk metallic glass matrix composite. As the velocity drops further to 0.463 mm/s (6.9 K/s), there is no exothermic peak, which means that a fully crystalline sample instead of a composite was obtained under this condition. It can be concluded that the critical cooling rate for the formation of the composite with α-La dendrites in a glassy matrix for this alloy is about between 6.9 and 15 K/s, which is in excellent agreement with the estimation of 6.9 K/s from the 12 mm diameter chill-cast rod.",10.1016/S0966-9795(02)00148-6,Al14Cu10La66Ni10,6.9,K/s,0.838849091
"Bulk metallic glass composites containing B2 phase. By contrast, Co [4,73,133,153,155,163,164,287,288] and Hf [133,285] deteriorate the GFA. For example, for as-cast (Cu0.5Zr0.5)100-xAgx (x = 0, 2, 6, 10 at.%%) BMGs, with increasing Ag from 0 to 10 at.%%, the critical cooling rate ( R c ) decreases from 9.74 to 0.81 K/s [104].",10.1016/j.pmatsci.2021.100799,Cu0.5Zr0.5,9.74,K/s,0.988558957
"12 Functional bulk metallic glasses. Consequently, it opened up the suitability for their use in a wide range of applications because of cost effectiveness. In 1993, Peker and Johnson [11] obtained rods of diameter up to 14mm of Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 BMG at the critical cooling rate of 10Ks^(-1) or less.",10.1016/B978-0-12-805056-9.00012-X,Be22.5Cu12.5Ni10Ti13.8Zr41.2,10,K/s,1
Abnormal devitrification behavior and mechanical response of cold-rolled Mg-rich Mg-Cu-Gd metallic glasses. The Mg65Cu25Gd10 alloy exhibits significantly improved GFA with at least 8 mm in diameter (D max) by conventional Cu-mold casting method in air atmosphere [17]. The critical cooling rate for glass formation (R c) was estimated to be approximately 10 K/s by the following equation: log R c = -2.52 logZ max + 3.27 [22].,10.1016/j.actamat.2016.06.026,Cu25Gd10Mg65,10,K/s,1
"Utilization of high entropy alloy characteristics in Er-Gd-Y-Al-Co high entropy bulk metallic glass. The number next to the data point indicates the annealing time (min) at each annealing temperature. Even at relatively low annealing temperature (T/T x = 0.943), the Al88Y7Fe5 MG [51] with low GFA (critical cooling rate (R c) > 10^(3) K/s) exhibits multi-modal distribution with large scattering of the crystalline sizes and the average diameters of the crystalline phases increase from 17.1 ± 4.2 nm to 46.7 ± 13.1 nm with increasing annealing time from 10 min to 100 min. However, the average diameters of the crystalline phases in Fe48Cr15Mo14C15B6Y2 (SAM 1651, R c < 80 K/s) [52] and Zr52·5Cu17·9Ni14·6Al10Ti5 (Vit105, R c = 10 K/s) [53,54] are 14.06 ± 2.65 nm for 180 min annealing and 10 nm for 200 min annealing, respectively, which means that a high glass former with densely random packed structure exhibits relatively high resistance to crystallization.",10.1016/j.actamat.2018.06.024,Al10Cu17.9Ni14.6Ti5Zr52.5,10,K/s,1
"3D printing of crack-free high strength Zr-based bulk metallic glass composite by selective laser melting. Putting the variable of time in FEM simulation, the corresponding heating-cooling curves at above three positions were obtained, as depicted in Fig. 7(c), from which cooling rate at the positions of Sa, Sb and Sc was calculated to be 8.2 × 10^(4) °C/s, 4.5 × 10^(4) °C/s, 1.1 × 10^(4) °C/s, respectively. Noted that the critical cooling rate required for the formation of amorphous phase in Zr55Cu30Ni5Al10 system is about 10 °C/s [39], the high cooling rate ensures the formation of fully amorphous structure in molten pools during the SLM process, which is consistent with the TEM results.",10.1016/j.intermet.2017.07.010,Al10Cu30Ni5Zr55,10,K/s,1
"In-situ synthesis of Zr-based bulk metallic glass composites with periodic amorphous-crystalline microstructure for improved ductility via laser direct deposition. Among the various BMG systems, Zr-based BMG is known to have an outstanding glass forming ability. For Zr65Cu15Ni10Al10, the reported critical cooling rate was only about 10 K/s [64].",10.1016/j.intermet.2019.106503,Al10Cu15Ni10Zr65,10,K/s,1
"Thermodynamics and structural relaxation in Ce-based bulk metallic glass-forming liquids. For the investigated Ce-based alloys with good GFA, ΔG is similar and reaches ∼2.7kJ/mol at T K. The value is comparable to that of the excellent glass former Zr46.75Ti8.25Cu7.5Ni10Be27.5 which has the critical cooling rate of 10K/s.",10.1016/j.jallcom.2011.01.106,Be27.5Cu7.5Ni10Ti8.25Zr46.75,10,K/s,1
"Effects of graphite addition on the microstructure and properties of laser cladding Zr–Al–Ni–Cu amorphous coatings. For the (Zr65Al7.5Ni10Cu17.5)95C5 coating, the coexistence of amorphous, Zr3Al2 nanocrystalline and Ni10Zr7-type crystalline phases is identified. For the Zr65Al7.5Ni10Cu17.5 bulk metallic glass, the critical cooling rate is below 10K/s [28].",10.1016/j.jallcom.2014.05.009,Al7.5Cu17.5Ni10Zr65,10,K/s,1
"Study on fabrication of bulk metallic glassy composites by horizontal continuous casting method. For the rods obtained by PPI and PPIII, massive crystalline peaks can be observed in the patterns, which can be defined as CuZr2, Cu10Zr7 and Zr2Al phases. In addition, the simulation results also suggest that the present three drawing rates in HCC process can provide enough cooling rate for the glass formation of Zr55Cu30Ni5Al10 alloy (the critical cooling rate about 10 K/s [16]).",10.1016/j.jallcom.2015.11.108,Al10Cu30Ni5Zr55,10,K/s,1
"The micro-zones formation of Zr-based bulk metallic glass composite fabricated by laser 3D printing. Fig. 10(b) shows the corresponding heating-cooling histories at P0 and Q0, from which the cooling rates at P0 and Q0 were calculated as 6.7 × 10^(5) °C/s and 2.6 × 10^(5) °C/s respectively. The critical cooling rate required for the formation of amorphous Zr55Al10Ni5Cu30 is about 10 °C/s [20].",10.1016/j.jmapro.2022.02.002,Al10Cu30Ni5Zr55,10,K/s,1
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. As seen from the CCT curve in red color in Fig. 3b, the time to a given degree of crystallization is longer and temperature to that is lower for Zr55Y0.2 alloy during continuous cooling compared with that in the TTT curves (black line in Fig. 3b). The recalculated Rc is about 3.75K/s (Fig. 3b), which is close to that of 1.75K/s for Vitreloy 106a and 10K/s for Vitreloy 106 BMG (Evenson et al., 2010).",10.1016/j.jmatprotec.2017.01.015,Al10Cu15.4Nb5Ni12.6Zr57,10,K/s,1
Effect of pre-existing nuclei on crystallization during laser welding of Zr-based metallic glass. The resulting quality factors are 0.9582 for Qt and 0.9167 for Qx. The cooling rate of 50 K/s is higher than the critical cooling rate of 10 K/s that was reported for LM105.,10.1016/j.jnoncrysol.2019.03.022,Al10Cu17.9Ni14.6Ti5Zr52.5,10,K/s,1
"Effects of irradiation spectrum on the microstructural and mechanical properties of bulk metallic glasses. The two alloys were selected due to their favorable mechanical properties. For the BAM-11 BMG, features such as a relatively high fracture toughness of 49 MPa⋅m^(1/2) [76,77], high strength (∼1,700 MPa [78,79]), a critical cooling rate as low as 10 K/s [80], make this alloy a particularly attractive candidate for use in mechanical components [81].",10.1016/j.jnucmat.2020.152084,Al10Cu17.9Ni14.6Ti5Zr52.5,10,K/s,1
Designing in situ and ex situ bulk metallic glass composites via spark plasma sintering in the super cooled liquid state. Our results show that dynamic pressing during fast heating can be used to achieve full density prior to devitrification. This is significant because SAM2X5 is a marginal glass former with a critical cooling rate of approximately 600K/min [40].,10.1016/j.matdes.2015.12.130,B15.2C3.8Cr17.7Fe49.7Mn1.9Mo7.4Si2.4W1.6,10,K/s,1
"Effect of Al addition on structure and dynamics of Zr-Cu-Al glass-forming alloy. The GFA of BMG forming alloys are dependent on composition and, even a minor change in the fraction of the alloying element results in a drastic change in the GFA of the alloys. For example, the critical cooling rate RC (which gives measure of ease of glass formation and hence GFA) Cu50Zr50, Cu46Zr46Al8 and Cu46Zr46Al7Gd1 are 250, 40 and 10 K/s respectively [2].",10.1016/j.matpr.2020.10.633,Al7Cu46Gd1Zr46,10,K/s,1
"Aerodynamic levitation processing of a Zr-based bulk metallic glass. The bulk metallic glass forming alloy Zr57Ti5Ni8Cu20Al10 was processed in a containerless environment at cooling rates of 69–1.2K/s, using aerodynamic levitation. The critical cooling rate for this composition was found to be approximately 10±1K/s.",10.1016/j.msea.2006.09.014,Al10Cu20Ni8Ti5Zr57,10,K/s,1
"Effect of plasma electrolytic oxidation treatment on the mechanical properties of a Zr–Cu–Ni–Ti–Al bulk metallic glass. The critical cooling rate which required a metallic glass to avoid the formation of detectable fraction of crystal in quenching molten alloys is used to describe the glass forming ability of materials. According to Johnson [25], the maximum D c (cm) of the samples is fully amorphous can be used to estimate the critical cooling rate, R c :D c for the Zr52.5Cu25Ni9.5Ti6Al7 BMG is 10mm, using Eq. (2), the R c is estimated to be smaller than 10Ks^(-1).",10.1016/j.msea.2016.06.068,Al7Cu25Ni9.5Ti6Zr52.5,10,K/s,1
"Mechanical properties of Zr-based bulk metallic glass parts fabricated by laser-foil-printing additive manufacturing. Although the critical cooling rates for glass formation have been significantly reduced, the thickness of as-cast BMG parts does not “proportionally” increase. For example, the critical cooling rate of Zr52.5Ti5Al10Ni14.6Cu17.9 BMG, which is selected for this study, is ~10 K/s, but its critical plate thickness is only around 4 mm [8].",10.1016/j.msea.2018.11.056,Al10Cu17.9Ni14.6Ti5Zr52.5,10,K/s,1
"Microstructure and nanomechanical properties of Zr-based bulk metallic glass composites fabricated by laser rapid prototyping. However, the critical cooling rate for fabricating BMGs is a major factor that limits the size of as-fabricated parts [12]. From the perspective of composition design, Inoue et al. [13] reported that developing BMG with multi-components could reduce the critical cooling rate, and found that the critical cooling rate of Zr55Cu30Al10Ni5 BMG was only 10 K/s.",10.1016/j.msea.2019.138306,Al10Cu30Ni5Zr55,10,K/s,1
Roles of minor additions in formation and properties of bulk metallic glasses. The sample is still composed of main glassy phase when the diameter increases to 12mm. The R c for the (Cu50Zr50)92Al7Gd1 is estimated to be 10Ks^(-1).,10.1016/j.pmatsci.2006.07.003,Al7Cu46Gd1Zr46,10,K/s,1
"On the crystalline equilibrium phases of the Zr57Cu15.4Ni12.6Al10Nb5 bulk metallic glass forming alloy. Vit 106 has a critical cooling rate of 10 Ks^(-1) [9]. It has moderate glass forming ability when compared to Zr41.2Ti13.8Cu12.5Ni10Be22.5, which has a critical cooling rate of 1 Ks^(-1) [10].",10.1016/j.scriptamat.2003.12.023,Al10Cu15.4Nb5Ni12.6Zr57,10,K/s,1
Preparation of high aspect ratio surface microstructures out of a Zr-based bulk metallic glass. A more detailed description of the set-up as well as studies on the stability and the wetting of the protective layers are given elsewhere [8]. The glass-forming melt is Zr52.5Cu17.9Ni14.6Al10Ti5 (contents in at%) with a melting temperature of 1069 K and a critical cooling rate of 10 K/s [10].,10.1016/S0167-9317(03)00096-0,Al10Cu17.9Ni14.6Ti5Zr52.5,10,K/s,1
Influence of decomposition on the thermal stability of undercooled Zr-Ti-Cu-Ni-Al alloys. Zr52.5Cu17.9Ni14.6Al10Ti5 (Vit105) [1] is a bulk metallic glass forming alloy with a critical cooling rate of about 10 K/s. Zr52.5Cu17.9Ni14.6Al10Ti5 (Vit105) [1] is a bulk metallic glass forming alloy with a critical cooling rate of about 10 K/s.,10.1016/S1359-6462(01)00691-1,Al10Cu17.9Ni14.6Ti5Zr52.5,10,K/s,1
"Quasistatic and dynamic deformation of tungsten reinforced Zr57Nb5Al10Cu15.4Ni12.6 bulk metallic glass matrix composites. Recent research illustrates the feasibility of processing metallic glass composites that can undergo substantial plastic deformation in compression [1,2]. Zr57Nb5Al10Cu15.4Ni12.6 (Vit106) is one of the best bulk metallic glass forming alloys, with a critical cooling rate of ∼10 Ks^(-1) [3].",10.1016/S1359-6462(01)01134-4,Al10Cu15.4Nb5Ni12.6Zr57,10,K/s,1
Revisiting the Cu47Ti33Zr11Ni8Si1 glass-forming alloy. The parameter γ can be calculated from the thermal stability data using the relationship γ = T x1/(T g + T l). Using these relationships the critical cooling rate is found to be 10.85K/s and the critical casting thickness is 6.35mm.,10.1016/j.scriptamat.2005.11.007,Cu47Ni8Si1Ti33Zr11,10.85,K/s,1.035429738
"Electron-beam welding of Zr50Cu30Ni10Al10 bulk glassy alloys. Besides, the critical cooling rate of the arc-melted Zr50Cu30Ni10Al10 alloy was estimated as 12K/s [16] from the cooling rate data of arc-melted Zr–Cu–Al–Ni alloys measured by a radiational thermometer. That is, the critical cooling rate changes significantly from 12 to 104K/s, whereas the alloy compositions remain almost unchanged.",10.1016/j.msea.2003.10.225,Al10Cu30Ni10Zr50,12,K/s,1.079181246
"Formation and properties of Zr48Nb8Cu14Ni12Be18 bulk metallic glass. The composition of the alloy is confirmed by chemical analysis, the diversity to the nominal composition is within 0.1%. The critical cooling rate for the BMG is estimated to be about 12 K/s [8], indicating that the glass forming system has excellent GFA like the Zr41Ti14Cu12.5Ni10Be22.5 BMG.",10.1016/S1359-6454(02)00602-X,Be18Cu14Nb8Ni12Zr48,12,K/s,1.079181246
"Glass formation and non-isothermal crystallization of Zr62.5Al12.1Cu7.95Ni17.45 bulk metallic glass. By plotting ln(R) versus 1/(T L - T XC)^(2), the R c will be obtained from the intercept of the straight line as shown in Fig. 6 . Thus, the R cs calculated by Eqs. (3) and (4) are 37.6±0.04Ks^(-1) and 17.8Ks^(-1).",10.1016/j.jnoncrysol.2009.06.040,Al12.1Cu7.95Ni17.45Zr62.5,17.8,K/s,1.250420002
"Glass forming ability and a novel method for evaluating the thermoplastic formability of Zr x Ti65-x Be27.5Cu7.5 alloys. Coincidentally, this unusual phenomenon has been observed intensively. It is found that La55Al25Ni20 (R c = 67.5 K/s) and La55Al25Cu5Ni10Co5 (R c = 18.8 K/s) present lower values of ΔG than Vit1 (R c = 1 K/s) [76].",10.1016/j.intermet.2019.106600,Al25Co5Cu5La55Ni10,18.8,K/s,1.274157849
"Study of frequency dependence modulus of bulk amorphous alloys around the glass transition by dynamic mechanical analysis. Therefore, in contrast to simple metallic glasses and most alloys, this exceptional thermal stability enables detailed studies of the relaxation dynamics in bulk Pd40Ni10Cu30P20 alloy in both the supercooled liquid region and glass transition region. La55Al25Cu10Ni5Co5 amorphous alloy is one of the best thermally stable glass former in La based alloys, with a critical cooling rate of 18.8 K/s and the largest diameter obtained up to 9 mm [4].",10.1016/S0966-9795(02)00143-7,Al25Co5Cu10La55Ni5,18.8,K/s,1.274157849
"Thermodynamics of La based La–Al–Cu–Ni–Co alloys studied by temperature modulated DSC. After the thermodynamic functions of the alloy as a function of temperature were calculated, the Gibbs free energy of the undercooled liquid with respect to the crystal, ΔG l-s T , can also be evaluated by integrating the specific heat capacity difference according to the equation (5) ΔGl-s T =ΔH T -ΔS T ·T The calculated Gibbs free energy function with respect to the crystalline state for five La based alloys is plotted in Fig. 3 . The lowest Gibbs free energy difference is alloy L6 (Fig. 3) which has the lowest critical cooling rate of 18.8 K/s (Table 1), while the highest free energy corresponds to alloy L1 which has a highest critical cooling rate of 67.5 K/s among these five La based alloys.",10.1016/S0966-9795(99)00159-4,Al25Co1Cu10La55Ni5,18.8,K/s,1.274157849
"Thermodynamics, kinetics, and crystallization of Pt57.3Cu14.6Ni5.3P22.8 bulk metallic glass. By comparison, a pure metal must be quenched at rates exceeding 10^(9) K/s. Based on the similarities between platinum and palladium, the Pt57.3Cu14.6Ni5.3P22.8 alloy has been developed, with a critical cooling rate on the order of ∼20K/s [3].",10.1016/j.actamat.2006.09.024,Cu14.6Ni5.3P22.8Pt57.3,20,K/s,1.301029996
"Development of process parameters for selective laser melting of a Zr-based bulk metallic glass. From the data in ref. [46], Rc for AMZ4 can be estimated to be 20 K/s.",10.1016/j.addma.2020.101124,Al10.4Cu28.8Nb1.5Zr59.3,20,K/s,1.301029996
"Corrosion behaviour of Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5 bulk metallic glass in aqueous environments. Based on these experiences, recently the Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5 alloy with maximum GFA was developed [13]. This alloy was fabricated by conventional copper mould casting in air in a bulk glassy state with a sample diameter of 14mm corresponding to a critical cooling rate for glass formation of 20K/s.",10.1016/j.electacta.2007.12.001,Ag5Cu7.5Gd5Mg65Ni7.5Y5Zn5,20,K/s,1.301029996
"Study on fabrication of bulk metallic glassy composites by horizontal continuous casting method. Fig. 6 illustrates the calculated temperature-time curves of Cu40Zr50Al10 alloy plate in withdrawal rates of 1 mm/s, 1.5 mm/s and 2 mm/s. The cooling rates can be obtained for 27.2 K/s, 23.1 K/s and 17.2 K/s, respectively, which means the corresponding withdrawal rates of 1 mm/s and 1.5 mm/s can provide higher cooling rate than the critical cooling rate of Cu40Zr50Al10 alloy (about 20 K/s [22]) for the glass formation.",10.1016/j.jallcom.2015.11.108,Al10Cu40Zr50,20,K/s,1.301029996
"Thermal stability and crystallization of a Zr-based metallic glass produced by suction casting and selective laser melting. Thus, the cooling rates associated with SLM are at least one order of magnitude higher than for suction casting and this parameter cannot explain our results. Moreover, as a critical cooling rate of approximately 20 K/s has been previously estimated for AMZ4 produced from industrial grade Zr [24,60], the fast cooling of the SLM process is enough to produce completely amorphous samples.",10.1016/j.jallcom.2020.153995,Al10.4Cu28.8Nb1.5Zr59.3,20,K/s,1.301029996
"Assessing continuous casting of precious bulk metallic glasses. The cooling rates, computed from the first derivatives of temperature with time, are comparable at approximately 15 K/s to 17 K/s. According to literature this is clearly higher than the critical cooling rate reported for Pd43Ni10Cu27P20 (0.2 K/s [22], after fluxing), but slightly lower than that documented for Pt57.3Cu14.6Ni5.3P22.8 (≈20 K/s [23,24], after fluxing).",10.1016/j.jnoncrysol.2018.09.035,Cu14.6Ni5.3P22.8Pt57.3,20,K/s,1.301029996
"Undercooling behavior of Zr–Cu–Ni–Al bulk metallic glasses investigated by in situ synchrotron high energy X-ray diffraction. Lin and Johnson proposed that R c is closely related to the critical diameter of BMG [50], d max is the critical radius of the rod-shaped BMG in the unit of centimeter. Substituting the corresponding critical diameter 0.6cm, 1cm, and 1.4cm, the R c for Zr53, Zr51.9, and Zr50.7 BMGs are calculated to be 111K/s, 40K/s and 20K/s which agree very well with the estimation above.",10.1016/j.msea.2012.06.030,Al12.3Cu28Ni9Zr50.7,20,K/s,1.301029996
"Crystallization pathways of deeply undercooled Zr-Ti-Cu-Ni-Be melts. Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vit1) [1] and Zr46.8Ti8.2Cu7.5Ni10Be27.5 (Vit4) are bulk metallic glass formers with critical cooling rates of about 1–2 K/s and 20 K/s, respectively. Zr41.2Ti13.8Cu12.5Ni10Be22.5 (Vit1) [1] and Zr46.8Ti8.2Cu7.5Ni10Be27.5 (Vit4) are bulk metallic glass formers with critical cooling rates of about 1–2 K/s and 20 K/s, respectively.",10.1016/S1359-6462(01)00693-5,Be27.5Cu7.5Ni10Ti8.2Zr46.8,20,K/s,1.301029996
"Prediction of the glass forming ability in Cu–Zr binary and Cu–Zr–Ti ternary alloys. These value are much lower than the other alloys. For example, the calculated critical cooling rates of Cu50Zr5Ti45 and Cu50Zr15Ti35 alloys are increased to 7.34×10^(5) K/s and 4.82×10^(3) K/s (Turnbull method), and 1.36×10^(4) K/s and 21.63K/s (TS method).",10.1016/j.intermet.2007.07.008,Cu50Ti35Zr15,21.63,K/s,1.335056519
"Enhanced glass forming ability and refrigerant capacity of a Gd55Ni22Mn3Al20 bulk metallic glass. Thus, the supercooled liquid region ΔT and the reduced glass transition temperature T rg (T g /T l ) of the rod are about 50K and 0.58, respectively. The parameter γ(T x /(T g + T l )) of the Gd55Ni22Mn3Al20 BMG is about 0.40, and thus the critical cooling rate (R c ) and the section thickness (Z c ) of the BMG can be predicted to be about 22.4K/s and 4.9mm respectively.",10.1016/j.jallcom.2011.03.120,Al20Gd55Mn3Ni22,22.4,K/s,1.350248018
"Bulk metallic glass formation in the Mg–Cu–Zn–Y system. Based on a relationship between the maximum casting thickness obtainable for a metallic glass and critical cooling rate, as expressed by (1) R c (K/s)=10/t^(2) (cm) where t is the resultant sample thickness [10], the critical cooling rate to form the glass for an alloy can be roughly estimated. The estimate indicates that the critical cooling rate was reduced from ∼100 K/s for the alloy at x=0 to ∼25 K/s at x=5, where the 3 and 6 mm were taken as the maximum casting thickness to form the glass for x=0 and 5, respectively.",10.1016/S1359-6462(02)00055-6,Cu20Mg65Y10Zn5,25,K/s,1.397940009
"Phase evolution in Cu54Ni6Zr22Ti18 bulk metallic glass Nd:YAG laser weld. The effective cooling rate is far faster than the estimated critical cooling rate of Cu54Ni6Zr22Ti18 BMG. According to a previous study [14], maximum thickness is 6mm and the critical cooling rate is 27.7Ks^(-1) [15].",10.1016/j.msea.2006.06.118,Cu54Ni6Ti18Zr22,27.7,K/s,1.442479769
"Investigation of glass forming ability and crystallization kinetics of Zr63.5Al10.7Cu10.7Ni15.1 bulk metallic glass. By plotting ln(R) versus 1/(T L - T XC)^(2), the R c will be obtained from the intercept of the straight line as shown in Fig. 8 . Thus, the R c calculated by Eqs. (3) and (4) is 35.7 and 27.8Ks^(-1), indicating its better glass forming ability.",10.1016/j.jallcom.2009.06.134,Al10.7Cu10.7Ni15.1Zr63.5,27.8,K/s,1.444044796
"Glass forming ability, non-isothermal crystallization kinetics, and mechanical property of Zr61.5Al10.7Cu13.65Ni14.15 metallic glass. By plotting ln(R) versus 1/(T L - T XC)^(2), the critical cooling rate R c will be obtained from the intercept of the straight line, as shown in Fig. 6 . Thus, the R cs are 33.2Ks^(-1) derived by Eq. (3) and 33.1Ks^(-1) calculated by Eq. (4).",10.1016/j.jallcom.2009.10.125,Al10.7Cu13.65Ni14.15Zr61.5,33.1,K/s,1.519827994
"Glass forming ability, non-isothermal crystallization kinetics, and mechanical property of Zr61.5Al10.7Cu13.65Ni14.15 metallic glass. By plotting ln(R) versus 1/(T L - T XC)^(2), the critical cooling rate R c will be obtained from the intercept of the straight line, as shown in Fig. 6 . Thus, the R cs are 33.2Ks^(-1) derived by Eq. (3) and 33.1Ks^(-1) calculated by Eq. (4).",10.1016/j.jallcom.2009.10.125,Al10.7Cu13.65Ni14.15Zr61.5,33.2,K/s,1.521138084
