formula,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,yield strength,tensile strength,elongation,composition,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity
Fe0.692C0.00837Mn0.00112Si0.00179Cr0.000107Ni0.169Mo0.000116V0.0474Nb0.0000601Co0.0764Al0.00228Ti0.000933,0.18,0.11,0.09,0.01,17.8,0.02,4.32,0.0,0.01,8.06,0.0,0.11,0.08,1605.4,1639.8,13.0,Fe0.692 C0.00837 Mn0.00112 Si0.00179 Cr0.000107 Ni0.169 Mo0.000116 V0.0474 Nb6.01e-05 Co0.0764 Al0.00228 Ti0.000933,26.051393285613774,56.06714356215599,55.84551035938735,1825.960680332393,8.33922549768847,3.979357349580487,130.69224384216471,1.842937681283096
Fe0.692C0.00968Mn0.000101Si0.0144Cr0.133Ni0.00887Mo0.0114V0.000109Nb0.000477Co0.130Al0.000616,0.21,0.01,0.73,12.51,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1369.5,1759.4,15.9,Fe0.692 C0.00968 Mn0.000101 Si0.0144 Cr0.133 Ni0.00887 Mo0.0114 V0.000109 Nb0.000477 Co0.13 Al0.000616,25.696657082924855,55.13827770465886,55.39265281879194,1883.681289637867,8.004637971404675,3.977515682259485,131.4981716938839,1.8260464716540101
Fe0.693C0.000454Mn0.0000993Si0.0334Cr0.165Ni0.0381Mo0.000114V0.000107Nb0.0000587Co0.0685Al0.000405Ti0.000456,0.01,0.01,1.72,15.7,4.1,0.02,0.01,0.0,0.01,7.4,0.0,0.02,0.04,1205.8,1281.5,16.0,Fe0.693 C0.000454 Mn9.93e-05 Si0.0334 Cr0.165 Ni0.0381 Mo0.000114 V0.000107 Nb5.87e-05 Co0.0685 Al0.000405 Ti0.000456,25.39983154845383,55.22187339325834,54.573345907155094,1862.45829228744,8.017205864994688,3.9654491274329953,131.72793424787986,1.8108355906907516
Fe0.693C0.00877Mn0.000101Si0.0144Cr0.133Ni0.00897Mo0.0114V0.000109Nb0.000477Co0.130Al0.000616,0.19,0.01,0.73,12.47,0.95,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1275.3,1741.8,17.6,Fe0.693 C0.00877 Mn0.000101 Si0.0144 Cr0.133 Ni0.00897 Mo0.0114 V0.000109 Nb0.000477 Co0.13 Al0.000616,25.715099171398514,55.118847811295076,55.43287890716386,1881.8298209809132,7.999381521377479,3.9793384177138673,131.54838471168804,1.825400567321748
Fe0.694C0.0103Mn0.000102Si0.000200Cr0.0917Ni0.0440Mo0.00877V0.00308Nb0.0000604Co0.146W0.00153Al0.000624Ti0.000352,0.22,0.01,0.01,8.5,4.6,1.5,0.28,0.0,0.01,15.3,0.5,0.03,0.03,1575.5,1998.1,14.7,Fe0.694 C0.0103 Mn0.000102 Si0.0002 Cr0.0917 Ni0.044 Mo0.00877 V0.00308 Nb6.04e-05 Co0.146 W0.00153 Al0.000624 Ti0.000352,26.03797671752613,55.31130515837423,56.12488074570069,1868.6335389456215,8.085127644300336,3.990473244021496,131.1426747024937,1.8354642624738386
Fe0.695C0.00971Mn0.000101Si0.00988Cr0.134Ni0.00889Mo0.0115V0.000109Nb0.000478Co0.130Al0.000617,0.21,0.01,0.5,12.55,0.94,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1369.5,1767.4,17.7,Fe0.695 C0.00971 Mn0.000101 Si0.00988 Cr0.134 Ni0.00889 Mo0.0115 V0.000109 Nb0.000478 Co0.13 Al0.000617,25.749812303493503,55.02868982340032,55.51683663955892,1884.8044577195494,7.9755499682590445,3.9820661111583195,131.600258926206,1.8256144898703868
Fe0.695C0.0106Mn0.000101Si0.0103Cr0.133Ni0.00898Mo0.0114V0.000109Nb0.000478Co0.130Al0.000617,0.23,0.01,0.52,12.47,0.95,1.97,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1359.7,1809.9,7.3,Fe0.695 C0.0106 Mn0.000101 Si0.0103 Cr0.133 Ni0.00898 Mo0.0114 V0.000109 Nb0.000478 Co0.13 Al0.000617,25.72764033040671,55.06494001009409,55.466386840699386,1886.0352263825657,7.985791312082431,3.979772832892757,131.53183887425854,1.8264297286087636
Fe0.696C0.00143Mn0.000105Si0.000204Cr0.000110Ni0.180Mo0.0293V0.000113Nb0.0000618Co0.0682Al0.00319Ti0.0212,0.03,0.01,0.01,0.01,18.4,4.9,0.01,0.0,0.01,7.0,0.0,0.15,1.77,1233.3,1378.0,24.0,Fe0.696 C0.00143 Mn0.000105 Si0.000204 Cr0.00011 Ni0.18 Mo0.0293 V0.000113 Nb6.18e-05 Co0.0682 Al0.00319 Ti0.0212,26.74000878875759,55.97486963376242,57.41549543534952,1827.8378909261978,8.309731298837958,4.023109792064076,131.27533913423335,1.8515900270603323
Fe0.696C0.00878Mn0.000101Si0.00989Cr0.135Ni0.00927Mo0.0113V0.000109Nb0.000120Co0.129Al0.000617,0.19,0.01,0.5,12.64,0.98,1.95,0.01,0.0,0.02,13.67,0.0,0.03,0.0,1376.3,1732.4,17.7,Fe0.696 C0.00878 Mn0.000101 Si0.00989 Cr0.135 Ni0.00927 Mo0.0113 V0.000109 Nb0.00012 Co0.129 Al0.000617,25.75745635566149,55.0056109507522,55.53014461791765,1882.766969566691,7.969262747866149,3.9833561124069794,131.64618516337447,1.8247720576252242
Fe0.696C0.00925Mn0.000101Si0.000198Cr0.148Ni0.0107Mo0.00573V0.000109Nb0.000538Co0.129Al0.000617,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0.0,0.09,13.74,0.0,0.03,0.0,1376.7,1809.3,18.0,Fe0.696 C0.00925 Mn0.000101 Si0.000198 Cr0.148 Ni0.0107 Mo0.00573 V0.000109 Nb0.000538 Co0.129 Al0.000617,25.758383712757794,54.74818319148446,55.52469514588074,1883.9374761832871,7.900695131083147,3.986956169650774,131.79377711216176,1.8204035319417384
Fe0.696C0.00974Mn0.000101Si0.000198Cr0.150Ni0.0000949Mo0.0116V0.000109Nb0.000480Co0.130Al0.000619,0.21,0.01,0.01,14.04,0.01,1.99,0.01,0.0,0.08,13.79,0.0,0.03,0.0,1348.9,1727.5,9.6,Fe0.696 C0.00974 Mn0.000101 Si0.000198 Cr0.15 Ni9.49e-05 Mo0.0116 V0.000109 Nb0.00048 Co0.13 Al0.000619,25.817145321464643,54.65705853363443,55.701437192191456,1892.915711244067,7.86770481846842,3.991774296383003,131.9863753837936,1.8215566580999354
Fe0.697C0.00972Mn0.000101Si0.00732Cr0.135Ni0.00909Mo0.0115V0.000109Nb0.000479Co0.130Al0.000618,0.21,0.01,0.37,12.59,0.96,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1332.7,1774.1,16.8,Fe0.697 C0.00972 Mn0.000101 Si0.00732 Cr0.135 Ni0.00909 Mo0.0115 V0.000109 Nb0.000479 Co0.13 Al0.000618,25.77887019862389,54.965280532141385,55.58434230418079,1885.4457577849555,7.958683713360581,3.9846154153558113,131.6590854369456,1.8252912021435914
Fe0.699C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.166Mo0.0287V0.00383Nb0.0000618Co0.0847Al0.00829Ti0.00803,0.01,0.01,0.01,0.01,17.0,4.8,0.34,0.0,0.01,8.7,0.0,0.39,0.67,1287.3,1429.7,19.3,Fe0.699 C0.000478 Mn0.000104 Si0.000204 Cr0.00011 Ni0.166 Mo0.0287 V0.00383 Nb6.18e-05 Co0.0847 Al0.00829 Ti0.00803,26.71346616804791,56.139292359699446,57.384497874912036,1820.9229125575612,8.360900235095714,4.019321309948756,130.98120214769705,1.8523749189350995
Fe0.699C0.000946Mn0.000103Si0.000202Cr0.000109Ni0.140Mo0.00545V0.000112Nb0.0000612Co0.148Al0.000632Ti0.00487,0.02,0.01,0.01,0.01,14.5,0.92,0.01,0.0,0.01,15.4,0.0,0.03,0.41,1212.0,1272.2,14.8,Fe0.699 C0.000946 Mn0.000103 Si0.000202 Cr0.000109 Ni0.14 Mo0.00545 V0.000112 Nb6.12e-05 Co0.148 Al0.000632 Ti0.00487,26.466661237204914,56.233318312267144,56.816992775467014,1800.9901777835228,8.407036942618058,4.002786634559472,130.18895207252694,1.8494685964334436
Fe0.700C0.000479Mn0.000523Si0.00102Cr0.000111Ni0.170Mo0.0298V0.000113Nb0.0000619Co0.0771Al0.00277Ti0.0180,0.01,0.05,0.05,0.01,17.4,4.97,0.01,0.0,0.01,7.9,0.0,0.13,1.5,2356.4,2404.6,8.0,Fe0.7 C0.000479 Mn0.000523 Si0.00102 Cr0.000111 Ni0.17 Mo0.0298 V0.000113 Nb6.19e-05 Co0.0771 Al0.00277 Ti0.018,26.763931382883566,55.96643215815071,57.49076253663106,1826.6429587093876,8.30708108649201,4.025114455029456,131.26706160206143,1.8516742120000855
Fe0.700C0.00927Mn0.000101Si0.00594Cr0.133Ni0.00901Mo0.0114V0.000109Nb0.000479Co0.130Al0.000619,0.2,0.01,0.3,12.46,0.95,1.97,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1299.8,1770.2,13.6,Fe0.7 C0.00927 Mn0.000101 Si0.00594 Cr0.133 Ni0.00901 Mo0.0114 V0.000109 Nb0.000479 Co0.13 Al0.000619,25.80643606339657,54.935641366178366,55.64554681682922,1883.9457480238575,7.951706522869647,3.9867790480914627,131.6973532094311,1.8251662219679816
Fe0.701C0.00750Mn0.000102Si0.000200Cr0.154Ni0.0000959Mo0.0289V0.00508N0.00121Nb0.0000606Co0.101Al0.000835,0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0.0,0.04,0.0,1405.6,1894.8,14.0,Fe0.701 C0.0075 Mn0.000102 Si0.0002 Cr0.154 Ni9.59e-05 Mo0.0289 V0.00508 N0.00121 Nb6.06e-05 Co0.101 Al0.000835,26.054914706092646,54.40585479660415,56.29199027884859,1908.967479113405,7.778709348704253,4.010505773345261,132.70918270151455,1.8240504758328515
Fe0.702C0.000943Mn0.000103Si0.000202Cr0.000109Ni0.142Mo0.000118V0.000111Nb0.0000609Co0.149Al0.000629Ti0.00509,0.02,0.01,0.01,0.01,14.7,0.02,0.01,0.0,0.01,15.5,0.0,0.03,0.43,1144.8,1176.2,16.5,Fe0.702 C0.000943 Mn0.000103 Si0.000202 Cr0.000109 Ni0.142 Mo0.000118 V0.000111 Nb6.09e-05 Co0.149 Al0.000629 Ti0.00509,26.385185560603375,56.2711296936451,56.60956117402282,1795.0314966053918,8.421428099458407,3.997462828351106,130.05762151628718,1.8478374562747486
Fe0.702C0.00930Mn0.000102Si0.000199Cr0.133Ni0.0115Mo0.0117V0.000110Nb0.000481Co0.131Al0.000621,0.2,0.01,0.01,12.43,1.21,2.01,0.01,0.0,0.08,13.82,0.0,0.03,0.0,1423.8,1818.8,16.5,Fe0.702 C0.0093 Mn0.000102 Si0.000199 Cr0.133 Ni0.0115 Mo0.0117 V0.00011 Nb0.000481 Co0.131 Al0.000621,25.88552348819466,54.820713330726704,55.82583948342732,1884.7878136284232,7.922825003274959,3.9927610941057776,131.7970086388877,1.8251331832686177
Fe0.702Mn0.000102Si0.000200Cr0.154Ni0.0793Mo0.0152V0.000110Nb0.0000604Co0.0409Al0.00208Ti0.00574,0.0,0.01,0.01,14.3,8.3,2.6,0.01,0.0,0.01,4.3,0.0,0.1,0.49,1350.4,1478.0,,Fe0.702 Mn0.000102 Si0.0002 Cr0.154 Ni0.0793 Mo0.0152 V0.00011 Nb6.04e-05 Co0.0409 Al0.00208 Ti0.00574,26.082799469116694,54.569748454624644,56.10450751324107,1874.9610636231703,7.849080377124004,4.012984393999594,132.67140332366233,1.8150477486874959
Fe0.702Mn0.000102Si0.000200Cr0.154Ni0.0802Mo0.0146V0.000110Nb0.0000604Co0.0409Al0.00249Ti0.00551,0.0,0.01,0.01,14.3,8.4,2.5,0.01,0.0,0.01,4.3,0.0,0.12,0.47,1274.7,1347.0,,Fe0.702 Mn0.000102 Si0.0002 Cr0.154 Ni0.0802 Mo0.0146 V0.00011 Nb6.04e-05 Co0.0409 Al0.00249 Ti0.00551,26.070551836863316,54.58849174402333,56.072883882374676,1873.8151725642495,7.855121777005643,4.01196833665876,132.63973650942575,1.814905450300368
Fe0.703C0.000908Mn0.0000992Si0.0375Cr0.146Ni0.0557Mo0.000114V0.000107Nb0.0000587Co0.0555Al0.000606Ti0.000569,0.02,0.01,1.93,13.9,6.0,0.02,0.01,0.0,0.01,6.0,0.0,0.03,0.05,1130.0,1212.6,14.0,Fe0.703 C0.000908 Mn9.92e-05 Si0.0375 Cr0.146 Ni0.0557 Mo0.000114 V0.000107 Nb5.87e-05 Co0.0555 Al0.000606 Ti0.000569,25.398967607144407,55.508873413394376,54.5166467974451,1854.7660439974763,8.10526065829942,3.9602571343699458,131.42173942038784,1.8153687418007027
Fe0.703C0.00274Mn0.0209Si0.00625Cr0.173Ni0.0481Mo0.00864V0.000108Nb0.0000591Co0.0189Al0.0179,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1237.0,1374.2,9.9,Fe0.703 C0.00274 Mn0.0209 Si0.00625 Cr0.173 Ni0.0481 Mo0.00864 V0.000108 Nb5.91e-05 Co0.0189 Al0.0179,25.524310844839388,54.72607483555125,54.89317190795972,1862.450093142527,7.8738078571856605,3.979060663541341,132.57197965060124,1.8008075453600254
Fe0.703C0.00883Mn0.000102Si0.000199Cr0.135Ni0.00942Mo0.0115V0.000110Nb0.000421Co0.131Al0.000621,0.19,0.01,0.01,12.61,0.99,1.98,0.01,0.0,0.07,13.79,0.0,0.03,0.0,1371.4,1730.5,15.6,Fe0.703 C0.00883 Mn0.000102 Si0.000199 Cr0.135 Ni0.00942 Mo0.0115 V0.00011 Nb0.000421 Co0.131 Al0.000621,25.882685814779602,54.78741415492655,55.82257675245985,1884.4655193695678,7.912441774319814,3.993442331206765,131.84767692158493,1.8242372898301644
Fe0.703C0.00927Mn0.000101Si0.000198Cr0.128Ni0.0235Mo0.00574V0.000109Nb0.000599Co0.129Al0.000619,0.2,0.01,0.01,11.94,2.48,0.99,0.01,0.0,0.1,13.64,0.0,0.03,0.0,1273.3,1640.2,18.6,Fe0.703 C0.00927 Mn0.000101 Si0.000198 Cr0.128 Ni0.0235 Mo0.00574 V0.000109 Nb0.000599 Co0.129 Al0.000619,25.824597854691763,54.94486749802028,55.63981021886864,1875.6106268847436,7.966202596446885,3.9869837702072526,131.55241787116952,1.8248291332378797
Fe0.704C0.000476Mn0.000104Si0.000203Cr0.000110Ni0.148Mo0.0304V0.000112Nb0.0000615Co0.0892Al0.0191Ti0.00835,0.01,0.01,0.01,0.01,15.2,5.1,0.01,0.0,0.01,9.2,0.0,0.9,0.7,1393.5,1521.4,13.8,Fe0.704 C0.000476 Mn0.000104 Si0.000203 Cr0.00011 Ni0.148 Mo0.0304 V0.000112 Nb6.15e-05 Co0.0892 Al0.0191 Ti0.00835,26.5781391467894,56.259722242358755,57.118181530861634,1813.2309915894791,8.389684101802139,4.010205311081258,130.94832152054286,1.8499787374770835
Fe0.705C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.147Mo0.0304V0.000112Nb0.0000615Co0.0891Al0.0195Ti0.00835,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,1580.1,1719.1,10.2,Fe0.705 C0.000475 Mn0.000104 Si0.000203 Cr0.00011 Ni0.147 Mo0.0304 V0.000112 Nb6.15e-05 Co0.0891 Al0.0195 Ti0.00835,26.570689378563205,56.26022337718678,57.10314832612049,1812.9647111625118,8.389461678672513,4.009804426260889,130.9528900741742,1.8497991184662774
Fe0.706C0.000906Mn0.0000990Si0.0372Cr0.162Ni0.0361Mo0.000113V0.000107Nb0.0000586Co0.0554Al0.000806Ti0.000796,0.02,0.01,1.92,15.5,3.9,0.02,0.01,0.0,0.01,6.0,0.0,0.04,0.07,1109.3,1178.2,12.0,Fe0.706 C0.000906 Mn9.9e-05 Si0.0372 Cr0.162 Ni0.0361 Mo0.000113 V0.000107 Nb5.86e-05 Co0.0554 Al0.000806 Ti0.000796,25.327406277161252,55.28911400884527,54.39890079462389,1862.215512928558,8.032273574169137,3.960337163720647,131.70146348646878,1.8109329506147351
Fe0.706C0.0106Mn0.000101Si0.00712Cr0.135Ni0.00899Mo0.0114V0.000109Nb0.000478Co0.120Al0.000617,0.23,0.01,0.36,12.6,0.95,1.97,0.01,0.0,0.08,12.77,0.0,0.03,0.0,1302.8,1721.7,18.1,Fe0.706 C0.0106 Mn0.000101 Si0.00712 Cr0.135 Ni0.00899 Mo0.0114 V0.000109 Nb0.000478 Co0.12 Al0.000617,25.751764017932555,54.94991878370476,55.516025820285776,1887.6088193299777,7.952742611816095,3.9829480765482317,131.6724009536042,1.8253677623786129
Fe0.706C0.0116Mn0.000101Si0.000199Cr0.0965Ni0.0589Mo0.00755V0.00317Nb0.0000600Co0.115Al0.000620Ti0.000349,0.25,0.01,0.01,9.0,6.2,1.3,0.29,0.0,0.01,12.2,0.0,0.03,0.03,1405.6,1798.3,16.0,Fe0.706 C0.0116 Mn0.000101 Si0.000199 Cr0.0965 Ni0.0589 Mo0.00755 V0.00317 Nb6e-05 Co0.115 Al0.00062 Ti0.000349,25.908049505574223,55.31907036555209,55.751273474376745,1868.9856221045168,8.087402717266855,3.9835918040016045,131.09881415810625,1.8340005439733456
Fe0.707C0.000959Mn0.000105Si0.000205Cr0.000111Ni0.182Mo0.0306V0.000113Nb0.0000620Co0.0655Al0.00256Ti0.0107,0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.7,0.0,0.12,0.89,1088.6,1226.4,21.0,Fe0.707 C0.000959 Mn0.000105 Si0.000205 Cr0.000111 Ni0.182 Mo0.0306 V0.000113 Nb6.2e-05 Co0.0655 Al0.00256 Ti0.0107,26.821713845676875,56.076590510193355,57.58759109224382,1827.4390615202292,8.34446127920873,4.025981208402713,131.04341869058868,1.8548886155323199
Fe0.707C0.000959Mn0.000105Si0.000205Cr0.000111Ni0.183Mo0.0306V0.000113Nb0.0000620Co0.0675Al0.00256Ti0.00770,0.02,0.01,0.01,0.01,18.6,5.1,0.01,0.0,0.01,6.9,0.0,0.12,0.64,1026.6,1178.2,14.0,Fe0.707 C0.000959 Mn0.000105 Si0.000205 Cr0.000111 Ni0.183 Mo0.0306 V0.000113 Nb6.2e-05 Co0.0675 Al0.00256 Ti0.0077,26.837715205792485,56.124594590540184,57.62055268397912,1826.88001400119,8.36046263932434,4.025981208402714,130.93940984983723,1.8559387047899065
Fe0.707C0.0112Mn0.000102Si0.000199Cr0.0956Ni0.0485Mo0.00990V0.00318Nb0.0000601Co0.123Al0.000621Ti0.000350,0.24,0.01,0.01,8.9,5.1,1.7,0.29,0.0,0.01,13.0,0.0,0.03,0.03,1429.7,1925.8,15.5,Fe0.707 C0.0112 Mn0.000102 Si0.000199 Cr0.0956 Ni0.0485 Mo0.0099 V0.00318 Nb6.01e-05 Co0.123 Al0.000621 Ti0.00035,25.94258196934898,55.26552464454517,55.86154074657955,1870.940544652806,8.06929665050568,3.9867362813754084,131.2017773917111,1.8342076383790893
Fe0.709C0.0103Mn0.000102Si0.000200Cr0.0328Ni0.107Mo0.00692V0.000110Nb0.0000605Co0.133Al0.000625Ti0.000117,0.22,0.01,0.01,3.03,11.17,1.18,0.01,0.0,0.01,13.89,0.0,0.03,0.01,1810.0,1970.0,12.2,Fe0.709 C0.0103 Mn0.000102 Si0.0002 Cr0.0328 Ni0.107 Mo0.00692 V0.00011 Nb6.05e-05 Co0.133 Al0.000625 Ti0.000117,26.175561330867914,56.04862009858688,56.23736064613349,1836.2389807090237,8.33252552276491,3.9855588864411304,130.14863514505848,1.8491072143582332
Fe0.710C0.000477Mn0.000104Si0.000204Cr0.000110Ni0.149Mo0.0305V0.000112Nb0.0000617Co0.0885Al0.0127Ti0.00814,0.01,0.01,0.01,0.01,15.3,5.1,0.01,0.0,0.01,9.1,0.0,0.6,0.68,1123.1,1198.9,13.0,Fe0.71 C0.000477 Mn0.000104 Si0.000204 Cr0.00011 Ni0.149 Mo0.0305 V0.000112 Nb6.17e-05 Co0.0885 Al0.0127 Ti0.00814,26.665178230772465,56.15073746233031,57.30949908021202,1818.878538610575,8.359713741864631,4.016705225187059,131.01095810047457,1.8515306747506046
Fe0.711C0.00699Mn0.000102Si0.000199Cr0.0969Ni0.0458Mo0.00875V0.00549Nb0.0000603Co0.123Al0.000622Ti0.000234,0.15,0.01,0.01,9.0,4.8,1.5,0.5,0.0,0.01,13.0,0.0,0.03,0.02,1412.5,1688.1,10.0,Fe0.711 C0.00699 Mn0.000102 Si0.000199 Cr0.0969 Ni0.0458 Mo0.00875 V0.00549 Nb6.03e-05 Co0.123 Al0.000622 Ti0.000234,25.993917313293046,55.13531198052579,55.976941305664525,1862.7965349453477,8.031882286025294,3.994004187370571,131.48798800737387,1.8299300413462558
Fe0.711C0.00931Mn0.000102Si0.000199Cr0.113Ni0.0237Mo0.0115V0.000110Nb0.000602Co0.130Al0.000622,0.2,0.01,0.01,10.53,2.49,1.98,0.01,0.0,0.1,13.67,0.0,0.03,0.0,1282.2,1668.7,17.8,Fe0.711 C0.00931 Mn0.000102 Si0.000199 Cr0.113 Ni0.0237 Mo0.0115 V0.00011 Nb0.000602 Co0.13 Al0.000622,25.947331636912644,55.011179378990036,55.93046134796374,1876.3455592339108,7.986327982442545,3.99266206400072,131.56437016632586,1.8293723610076533
Fe0.711C0.0108Mn0.000102Si0.000200Cr0.0336Ni0.108Mo0.00697V0.000110Nb0.0000605Co0.129Al0.000208Ti0.000117,0.23,0.01,0.01,3.11,11.26,1.19,0.01,0.0,0.01,13.48,0.0,0.01,0.01,1777.6,1954.6,15.6,Fe0.711 C0.0108 Mn0.000102 Si0.0002 Cr0.0336 Ni0.108 Mo0.00697 V0.00011 Nb6.05e-05 Co0.129 Al0.000208 Ti0.000117,26.16819532728268,56.04113560978536,56.216931519579255,1838.0507482596659,8.329763264653169,3.9850250083111076,130.14779824379417,1.8493206987829534
Fe0.712C0.00143Mn0.000104Si0.000203Cr0.000110Ni0.146Mo0.0297V0.000112Nb0.00123Co0.0852Al0.0207Ti0.00310,0.03,0.01,0.01,0.01,15.0,5.0,0.01,0.0,0.2,8.8,0.0,0.98,0.26,1026.6,1164.4,35.0,Fe0.712 C0.00143 Mn0.000104 Si0.000203 Cr0.00011 Ni0.146 Mo0.0297 V0.000112 Nb0.00123 Co0.0852 Al0.0207 Ti0.0031,26.557715906465617,56.34295806834558,57.06952696109268,1813.7401771596647,8.414393997733747,4.007167795625314,130.79203291565366,1.8509810188930973
Fe0.712C0.00144Mn0.000105Si0.000205Cr0.000111Ni0.180Mo0.0306V0.000113Nb0.0000620Co0.0655Al0.00235Ti0.00842,0.03,0.01,0.01,0.01,18.3,5.1,0.01,0.0,0.01,6.7,0.0,0.11,0.7,1109.3,1281.5,18.0,Fe0.712 C0.00144 Mn0.000105 Si0.000205 Cr0.000111 Ni0.18 Mo0.0306 V0.000113 Nb6.2e-05 Co0.0655 Al0.00235 Ti0.00842,26.81913186652892,56.09766651413819,57.583338106270716,1828.443513676609,8.351069930642836,4.025204165026486,130.97196539934814,1.8557568842628576
Fe0.712C0.00471Mn0.00639Si0.00746Cr0.133Ni0.0000964Mo0.0363V0.000111N0.00121Nb0.0000609Co0.0980Al0.000629,0.1,0.62,0.37,12.195,0.01,6.15,0.01,0.03,0.01,10.2,0.0,0.03,0.0,1258.2,1650.9,12.0,Fe0.712 C0.00471 Mn0.00639 Si0.00746 Cr0.133 Ni9.64e-05 Mo0.0363 V0.000111 N0.00121 Nb6.09e-05 Co0.098 Al0.000629,26.192302588294638,54.613601564771166,56.60580579798099,1899.3604794176767,7.837316780258714,4.0164324373407005,132.68871212088635,1.8276903494744277
Fe0.712C0.0103Mn0.000102Si0.000200Cr0.0336Ni0.108Mo0.00698V0.000110Nb0.0000605Co0.129Al0.000208Ti0.000117,0.22,0.01,0.01,3.11,11.22,1.19,0.01,0.0,0.01,13.51,0.0,0.01,0.01,1743.5,1925.4,16.8,Fe0.712 C0.0103 Mn0.000102 Si0.0002 Cr0.0336 Ni0.108 Mo0.00698 V0.00011 Nb6.05e-05 Co0.129 Al0.000208 Ti0.000117,26.178262727002465,56.02956247142562,56.239045152517974,1837.0424854760902,8.326577243917246,3.9860419565744216,130.17694312103552,1.8489543933984725
Fe0.713C0.00984Mn0.000102Si0.000200Cr0.0335Ni0.107Mo0.00698V0.000110Nb0.0000606Co0.129Al0.000209Ti0.000118,0.21,0.01,0.01,3.1,11.18,1.19,0.01,0.0,0.01,13.52,0.0,0.01,0.01,1792.1,1991.2,15.0,Fe0.713 C0.00984 Mn0.000102 Si0.0002 Cr0.0335 Ni0.107 Mo0.00698 V0.00011 Nb6.06e-05 Co0.129 Al0.000209 Ti0.000118,26.185745784804137,56.01462385098743,56.25692998395932,1836.1770444554834,8.322200664800492,3.9869531604020167,130.20900240331255,1.8485702809943934
Fe0.713C0.0108Mn0.000102Si0.000200Cr0.0335Ni0.106Mo0.00697V0.000110Nb0.0000605Co0.129Al0.000208Ti0.000117,0.23,0.01,0.01,3.1,11.08,1.19,0.01,0.0,0.01,13.49,0.0,0.01,0.01,1741.8,1933.4,15.6,Fe0.713 C0.0108 Mn0.000102 Si0.0002 Cr0.0335 Ni0.106 Mo0.00697 V0.00011 Nb6.05e-05 Co0.129 Al0.000208 Ti0.000117,26.164412402162856,56.0298404857672,56.21165715875057,1838.18254443825,8.32599649523657,3.985023510913013,130.16291200343977,1.8491796403742744
Fe0.713C0.0108Mn0.000102Si0.000200Cr0.0336Ni0.107Mo0.00691V0.000110Nb0.0000605Co0.128Al0.000208Ti0.000117,0.23,0.01,0.01,3.11,11.16,1.18,0.01,0.0,0.01,13.46,0.0,0.01,0.01,1746.6,1945.8,14.8,Fe0.713 C0.0108 Mn0.000102 Si0.0002 Cr0.0336 Ni0.107 Mo0.00691 V0.00011 Nb6.05e-05 Co0.128 Al0.000208 Ti0.000117,26.16424584357182,56.03249900635682,56.20861123490105,1838.113264584057,8.326903357889028,3.984964116357492,130.16036576068075,1.8491720740020448
Fe0.713C0.0112Mn0.000102Si0.000200Cr0.0337Ni0.106Mo0.00697V0.000110Nb0.0000605Co0.128Al0.000208Ti0.000117,0.24,0.01,0.01,3.12,11.06,1.19,0.01,0.0,0.01,13.46,0.0,0.01,0.01,1804.2,2010.8,15.9,Fe0.713 C0.0112 Mn0.000102 Si0.0002 Cr0.0337 Ni0.106 Mo0.00697 V0.00011 Nb6.05e-05 Co0.128 Al0.000208 Ti0.000117,26.155075062458266,56.03485408898458,56.19040506029134,1839.1153276064292,8.327127269817213,3.9842172522363692,130.14717193466828,1.8493913826347257
Fe0.714C0.00138Mn0.00602Si0.00589Cr0.154Ni0.0798Mo0.0144V0.000108Nb0.0000593Co0.0000935Al0.0245,0.03,0.6,0.3,14.5,8.5,2.5,0.01,0.0,0.01,0.01,0.0,1.2,0.0,1478.4,1617.0,5.0,Fe0.714 C0.00138 Mn0.00602 Si0.00589 Cr0.154 Ni0.0798 Mo0.0144 V0.000108 Nb5.93e-05 Co9.35e-05 Al0.0245,25.65994428597308,55.07038644707907,55.12275630438537,1855.6961034172627,7.982495990005707,3.9813139864521983,132.33159143686763,1.8092609373569108
